bench,n_macros,n_nets,n_pins,canvas_area,pin_per_perim,pin_per_area,total_steiner,demand_supply_ratio,fiedler,avg_degree,fiedler_ratio
ibm01,1140,5993,16815,528.7679999999999,182.81148075668625,31.80033587509078,21421.92476153147,0.23429507932426313,90.4625487427248,16.55701754385965,5.463698308169868
ibm02,1346,9668,31694,1057.5488,243.65006150061504,29.96930259861294,53185.97344915988,0.2908483057227881,156.3677439024104,25.057949479940575,6.240244998002974
ibm03,1438,7674,25127,1230.6047999999998,179.0692702394527,20.418415400297484,57073.76355418229,0.2682178948645987,255.6888026006008,20.58576546309509,12.420660434463036
ibm04,1380,9642,27504,1161.7872,201.7309667008948,23.673870739839447,65262.415043332425,0.32486759708880475,-3.796768960799991e-16,25.01174349116855,-1.5179945221094245e-17
ibm06,1078,9964,33993,1065.696,260.3231735334661,31.8974641924151,58473.80490374994,0.3173203037301482,185.47651201017894,38.86734693877554,4.772039426883046
ibm07,1331,13964,41031,1478.7839999999999,266.7468469639839,27.74644572838224,99761.72865497987,0.3901477130522939,393.85196783411783,39.24467818682695,10.035805771145805
ibm08,1331,15042,46509,1681.408,283.55688330691385,27.6607462317296,115736.17405962225,0.3980758716991623,1282.4361646510542,43.00601051840723,29.81992863769942
ibm09,1301,12342,36570,2191.1712,195.31083101901302,16.68970457443033,98159.49413741395,0.25907520062346656,260.29645235277997,36.612554389841094,7.109486259309035
ibm10,2768,28272,80293,5942.0960000000005,260.4040993708244,13.512571994797794,424457.2182099647,0.4131084725582898,400.15988450926244,36.322615606936424,11.016824582226537
ibm11,1568,16086,45131,2654.8256,218.97622513343035,16.99961006854838,140890.18271425486,0.30691250092168043,452.2890026806761,39.74059509085019,11.381032459295266
ibm12,2636,28939,83023,4621.96,305.2989630065456,17.962725770019645,330965.3225134998,0.414119949282342,778.4339119515521,40.160470409711685,19.38308749897784
ibm13,1725,17527,53885,3132.64,240.6869751652671,17.20114663670259,169059.23996682672,0.3121032317986537,515.5557412474393,42.790023213501485,12.048503425087338
ibm14,2143,32008,94204,3591.0,393.0079265748853,26.233361180729602,358109.17165095324,0.5767264657766336,836.0333896604675,66.90226135123984,12.4963397764876
ibm15,1531,24958,75407,4567.0527999999995,278.954572358686,16.511085661194898,366673.0375279943,0.4643150772696981,1051.9676308963465,76.84178719168922,13.690046384164805
ibm16,1773,36681,105266,6573.153600000001,324.5945112550108,16.014535245304476,535244.2820667354,0.4709210440527281,753.7348677877092,93.13705583756345,8.09274956148783
ibm17,2604,45825,133186,5273.664,458.50316717157807,25.254927124670818,645220.0931114595,0.7075632529540076,552.1737228763826,79.22964669738863,6.969281650155105
ibm18,1314,26184,82319,4210.707199999999,317.148250886115,19.54992263532359,371775.8708321541,0.510617857758057,692.5258819680688,104.21080669710803,6.645432502800952
